Asta,2020-12-21 11:00:00+01:00,2020-12-21 12:00:00+01:00,None,None
Asta - nytt trix,2021-01-04 11:00:00+01:00,2021-01-04 12:00:00+01:00,None,None
Asta - berikning (naturliga beteenden),2021-01-06 11:00:00+01:00,2021-01-06 12:00:00+01:00,None,None
"Asta - dogparkour, utmaning",2021-01-07 11:00:00+01:00,2021-01-07 12:00:00+01:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-01-08 11:00:00+01:00,2021-01-08 12:00:00+01:00,None,None
Asta,2020-12-21 07:00:00+01:00,2020-12-21 08:00:00+01:00,None,None
Asta,2020-12-30 14:00:00+01:00,2020-12-30 15:00:00+01:00,None,None
Asta,2021-01-12 06:00:00+01:00,2021-01-12 07:30:00+01:00,None,None
Asta,2021-01-13 06:00:00+01:00,2021-01-13 07:30:00+01:00,None,None
Asta,2021-01-29 06:00:00+01:00,2021-01-29 08:00:00+01:00,None,None
Asta - problemlösning,2021-01-11 11:00:00+01:00,2021-01-11 12:00:00+01:00,None,None
Asta - berikning,2021-01-12 11:00:00+01:00,2021-01-12 12:00:00+01:00,None,None
Asta - nytt trix (rally?),2021-01-13 11:00:00+01:00,2021-01-13 12:00:00+01:00,None,None
Asta - dogparkour,2021-01-14 11:00:00+01:00,2021-01-14 12:00:00+01:00,None,None
Asta - dogparkour,2021-01-14 11:30:00+01:00,2021-01-14 12:30:00+01:00,None,None
Asta - klöjvning/jogging,2021-01-15 11:00:00+01:00,2021-01-15 12:00:00+01:00,None,None
Asta - nosarbete,2021-01-05 11:00:00+01:00,2021-01-05 12:00:00+01:00,None,None
Asta,2021-02-01 07:30:00+01:00,2021-02-01 09:00:00+01:00,None,None
Asta,2021-02-04 11:30:00+01:00,2021-02-04 13:00:00+01:00,None,None
Asta,2021-02-15 11:30:00+01:00,2021-02-15 13:00:00+01:00,None,None
Asta,2021-02-16 07:30:00+01:00,2021-02-16 08:30:00+01:00,None,None
